2009,Australia,Manufacturing industries: Total,13116
2011,Australia,Manufacturing industries: Total,3858.2
2011,Australia,Energy Production ,14026.5
2009,Australia,Construction,19693
2008,Austria,Mining and Quarrying,677.937
2010,Austria,Mining and Quarrying,269.151
2012,Austria,Mining and Quarrying,51.339
2008,Austria,Manufacturing industries: Total,13037.831
2010,Austria,Manufacturing industries: Total,2951.45
2012,Austria,Manufacturing industries: Total,3632.679
2008,Austria,Energy Production ,548.962
2010,Austria,Energy Production ,441.611
2012,Austria,Energy Production ,621.68
2008,Austria,Construction,31389.803
2010,Austria,Construction,9008.721
2012,Austria,Construction,19470.934
2008,Austria,Other,7611.775
2010,Austria,Other,17313.031
2012,Austria,Other,7308.855
2006,Belgium,Mining and Quarrying,159.059
2008,Belgium,Mining and Quarrying,503.487
2010,Belgium,Mining and Quarrying,1701.225
2012,Belgium,Mining and Quarrying,113.012
2006,Belgium,Manufacturing industries: Total,15293.364
2008,Belgium,Manufacturing industries: Total,10044.065
2010,Belgium,Manufacturing industries: Total,14520.776
2012,Belgium,Manufacturing industries: Total,17543.344
2006,Belgium,Energy Production ,1285.396
2008,Belgium,Energy Production ,1086.721
2010,Belgium,Energy Production ,1210.222
2012,Belgium,Energy Production ,1314.161
2006,Belgium,Construction,13055.636
2008,Belgium,Construction,15318.031
2010,Belgium,Construction,17827.952
2012,Belgium,Construction,23936.513
2006,Belgium,Other,14510.156
2008,Belgium,Other,9415.29
2010,Belgium,Other,11375.339
2012,Belgium,Other,10710.071
2006,Czech Republic,Mining and Quarrying,471.47
2008,Czech Republic,Mining and Quarrying,166.924
2010,Czech Republic,Mining and Quarrying,114.572
2012,Czech Republic,Mining and Quarrying,167.422
2006,Czech Republic,Manufacturing industries: Total,5830.96
2008,Czech Republic,Manufacturing industries: Total,5217.918
2010,Czech Republic,Manufacturing industries: Total,4184.445
2012,Czech Republic,Manufacturing industries: Total,4344.67
2006,Czech Republic,Energy Production ,2493.774
2008,Czech Republic,Energy Production ,1919.392
2010,Czech Republic,Energy Production ,1540.194
2012,Czech Republic,Energy Production ,1062.31
2006,Czech Republic,Construction,8242
2008,Czech Republic,Construction,10622.885
2010,Czech Republic,Construction,9315.976
2012,Czech Republic,Construction,8585.23
2006,Czech Republic,Other,4965.256
2008,Czech Republic,Other,4590.191
2010,Czech Republic,Other,5091.281
2012,Czech Republic,Other,5026.518
2010,Denmark,Mining and Quarrying,21.13
2012,Denmark,Mining and Quarrying,17.725
2010,Denmark,Manufacturing industries: Total,1523.162
2012,Denmark,Manufacturing industries: Total,1594.788
2010,Denmark,Energy Production ,940.119
2012,Denmark,Energy Production ,887.308
2010,Denmark,Construction,3122.188
2012,Denmark,Construction,3856.141
2010,Denmark,Other,7003.766
2012,Denmark,Other,6912.131
2006,Finland,Mining and Quarrying,21500.896
2008,Finland,Mining and Quarrying,31796.383
2010,Finland,Mining and Quarrying,54851
2012,Finland,Mining and Quarrying,52880
2006,Finland,Manufacturing industries: Total,17937.26
2008,Finland,Manufacturing industries: Total,16947.822
2010,Finland,Manufacturing industries: Total,15198.831
2012,Finland,Manufacturing industries: Total,14529.726
2006,Finland,Energy Production ,1635.834
2008,Finland,Energy Production ,1531.198
2010,Finland,Energy Production ,1440.066
2012,Finland,Energy Production ,1004.779
2006,Finland,Construction,23145.712
2008,Finland,Construction,24455.231
2010,Finland,Construction,24644.547
2012,Finland,Construction,16033.524
2006,Finland,Other,3483.654
2008,Finland,Other,3215.828
2010,Finland,Other,3116.87
2012,Finland,Other,3018.191
2006,France,Mining and Quarrying,1040.4
2008,France,Mining and Quarrying,1195.22
2010,France,Mining and Quarrying,1053.012
2012,France,Mining and Quarrying,2477.408
2006,France,Manufacturing industries: Total,22969.726
2008,France,Manufacturing industries: Total,21634.53
2010,France,Manufacturing industries: Total,21557.388
2012,France,Manufacturing industries: Total,21404.505
2006,France,Energy Production ,1031.33
2008,France,Energy Production ,1001.86
2010,France,Energy Production ,992.623
2012,France,Energy Production ,2100.102
2006,France,Construction,225310.888
2008,France,Construction,252979.84
2010,France,Construction,260699.131
2012,France,Construction,246702.428
2006,France,Other,50990.71
2008,France,Other,53568.27
2010,France,Other,54441.259
2012,France,Other,52107.742
2006,Germany,Mining and Quarrying,47222.2
2008,Germany,Mining and Quarrying,28280.661
2010,Germany,Mining and Quarrying,24493.073
2012,Germany,Mining and Quarrying,8606.328
2006,Germany,Manufacturing industries: Total,31198.572
2008,Germany,Manufacturing industries: Total,51832.142
2010,Germany,Manufacturing industries: Total,48685.389
2012,Germany,Manufacturing industries: Total,56074.259
2006,Germany,Energy Production ,8426.996
