TIME,GEO,PRODUCTION
2005,Euro area (19 countries),1.4334562209891875
2005,Belgium,1.3071504363645972
2005,Bulgaria,1.3786043261864067
2005,Czech Republic,3.22206757523271
2005,Denmark,5.684420219887442
2005,Estonia,2.8467454097214557
2005,Ireland,0.400591292301526
2005,Greece,0.9412564111726693
2005,Spain,0.69301934958102
2005,France,2.1606690915996034
2005,Croatia,1.1026567546483172
2005,Italy,0.5226804164503303
2005,Cyprus,0.06957072136653267
2005,Latvia,0.8272125825212338
2005,Lithuania,1.1478830002205518
2005,Luxembourg,0.23133794419270212
2005,Hungary,1.020841790418645
2005,Malta,0.0012417177426564813
2005,Netherlands,3.8311612885104105
2005,Austria,1.2022031958362023
2005,Poland,2.040552121629907
2005,Portugal,0.3444319174529704
2005,Romania,1.3172590819514072
2005,Slovenia,1.7481565286169836
2005,Slovakia,1.1793172315145966
2005,Finland,3.1625797677161813
2005,Sweden,3.7939754479663077
2005,United Kingdom,3.3868736608340857
2005,Iceland,8.121889657568543
2005,Norway,48.66707204794759
2005,Montenegro,1.0620781846043494
2005,"Former Yugoslav Republic of Macedonia, the",0.7458741074569722
2005,Albania,0.3499230456383225
2005,Serbia,1.3693577698647408
2005,Turkey,0.3523632131705615
2005,Kosovo (under United Nations Security Council Resolution 1244/99),0.6847133757961783
2005,Moldova,0.030163013590576254
2005,Ukraine,1.7129895668539301
2006,Euro area (19 countries),1.4343733834755896
2006,Belgium,1.2905439075470762
2006,Bulgaria,1.439568216042974
2006,Czech Republic,3.278226397668839
2006,Denmark,5.400298740165518
2006,Estonia,2.773598874657585
2006,Ireland,0.390693691013356
2006,Greece,0.9155438450206257
2006,Spain,0.7084212802594212
2006,France,2.132207468855387
2006,Croatia,1.157406387543893
2006,Italy,0.5182830856885448
2006,Cyprus,0.06921922063189756
2006,Latvia,0.8287272978633442
2006,Lithuania,1.0437909500020517
2006,Luxembourg,0.24366534068379786
2006,Hungary,1.0199590515870414
2006,Malta,0.00148148513946948
2006,Netherlands,3.753404664198636
2006,Austria,1.2161785290523797
2006,Poland,2.0133000306234328
2006,Portugal,0.4154114331180743
2006,Romania,1.3288412635150673
2006,Slovenia,1.7110271853557877
